#Parameters = {a_mcp_space=3.85; anode=600; anode_pot=0; anode_thickness=20; back=1; cathode=-200; coax_core=17; coax_length=320; cut_off_set=-10; e_thickness=0.04; elecrode_thickness=1; end_spoil_size=10; insulator_core=57; max_frequency_range=25; mcp_angle=-10; mcp_mid_pot=-2201; mcp_spacing=7.7; mirror=200; number_of_pores=1; o_mcp_space=6.6683956091402; off_set=5; open_area_ratio=0.35241977864696; pix_block=360; pore_gap=8; pore_radius=2.4; pore_size=200; res_block=150; res_length_n=195; res_length_p=6; small_number=0.0008; spoil_thickness=0.5; square_block=237.7; time_step=0.001}
#"Position x"	"pic 2d monitor 2 convert to 1D [Real Part]"
#---------------------------------------------------------
-230.58064107318	-0.51990087968079
-181.50666437577	-38.674334064126
-174.88154117018	-5.5232517297554
-151.12625260372	-38.918333302718
-196.37460354716	-50.597514928086
-235.45112344436	1.7958363969228
-205.65508748405	-8.2977485362790
-93.472706794273	-44.636148231803
-220.42402997613	-41.216135286959
-214.78328562807	-41.609589970903
-225.20485799760	-40.440387238050
-210.54196986370	-12.736230019073
-232.24629694596	19.246328520239
-238.50986326579	1.9882004380634
-187.81336257234	1.6904054973566
-193.96534480620	33.037744287867
-274.27708846517	11.066304068663
-148.38381321169	12.770747161994
-246.16441805847	-33.719683415256
-254.07783687115	14.038262634131
-245.47727662139	-15.344707207987
-181.87033128925	-41.216073441319
-198.81939806510	-22.895254005562
-120.29668869218	-55.237800552277
-158.03016140126	-22.024991267244
-265.88822947815	-23.538384994026
-204.88569862209	19.946006432292
-159.82959303074	-54.596323025180
-198.99538892787	-48.868492740439
-186.41231872607	-33.021566196112
-220.32353444956	-46.373086661333
-224.68554379884	-40.981660276884
-145.82993753720	-63.319144828711
-246.43653887324	-31.710933399154
-160.28356913012	-14.587532859878
-206.77997963503	-1.4344101373354
-177.81917995308	-29.332331905607
-238.95439517219	7.6001747402188
-273.96169025451	-18.040982467937
-180.16874673776	-55.907294154167
-258.01931042224	3.2454277061333
-211.66724036448	-27.481220968184
-157.49955491629	-51.661612815224
-240.31917564571	19.907294699806
-230.95302458387	0.11917074260737
-214.07972963061	-27.560579837882
-206.59124129452	-33.975637052208
-237.89821716491	-12.239337593201
-228.34884293843	-32.506111892872
-206.51653176174	-21.109777662787
-174.68103033025	-45.624663471244
-117.73879668908	60.934224165976
-269.13557667285	-17.094991562772
-243.80609102081	-16.713729564799
-174.28031424061	-47.657609684393
-280.15609132126	-23.610547941644
-247.60275846347	-49.433107051300
-191.89062004443	-62.266037275549
-268.93455651589	-41.821193008218
-125.08913641796	-61.897510022391
-127.37180804834	-64.630592532922
-194.53070126474	-43.425097828731
-177.89982666727	-46.626948460471
-139.88775026519	-27.115413104184
-176.86108185444	-51.080805860693
-234.19922217727	-9.5279074230348
-152.01045607682	-36.676818126580
-245.68874505349	-18.019796698354
-150.71220695972	-61.249229474924
-244.66571630910	-15.227185031108
-202.88857922424	-37.338439142332
-228.80012693349	-37.657049688278
-210.19209816586	10.384199413238
-226.16304340772	-38.203052099561
-218.41716079507	-23.142636564444
-222.06765424926	-37.688878364861
-130.96678594593	-66.380889620632
-221.04405798018	-48.632016842021
-198.63042689394	35.425440728432
-240.72850646917	-4.1687312659633
-202.66896171961	-37.832920497749
-200.00044605695	-40.300470573129
-181.15695274901	-61.918770370539
-215.43291222770	-41.401588532608
-233.50844276138	-47.315123083536
-251.66943669319	-22.121945221443
-265.04180277698	-37.212947063381
-246.62830401212	-13.415777175396
-259.26486705430	-20.184419554425
-277.66713174060	-22.719859771314
-252.15698406100	-2.6836428332899
-213.54728960432	-41.378840251127
-157.78043598402	-72.260663728230
-123.17128130235	-39.872778870631
-203.34881264716	-9.2928248704993
-107.07156616263	-72.491980972700
-223.46148034558	-9.1587880888255
-245.45812630095	-32.375814043917
-148.90753664076	32.496871426702
-208.14732124563	-32.654308597557
-222.02804393601	-29.707940484514
-206.87510550488	-8.4992425399832
-206.50619990192	-14.186893167789
-166.29490710329	-53.392195695778
-276.95868629962	-14.120291780273
-202.34567637090	-44.299682485871
-237.77467140462	-14.478724551736
-171.56146350317	-44.718824938173
-240.22841535043	-23.594358935952
-231.05788568500	-32.053503673524
-66.533888457343	-101.45741543965
-13.775248589809	153.17871293519
-204.48653958738	-28.880869649583
-134.98304178938	33.617368899286
-229.94958271738	21.051710064057
-212.87859999575	13.941484212410
-180.71802332997	-54.951015044935
-221.82156681083	10.213303539786
-219.96292343829	19.584089386626
-201.75776444376	36.405708669918
-181.90179252997	-41.070645238506
-304.29556500167	19.831864847219
-224.90648552775	-46.582248614868
-181.95925804321	-63.511346525047
-204.19381326064	-11.438044566603
-270.43337468058	-24.188917450374
-184.98447025195	-34.797780244844
-219.89182278048	-41.502378735458
-225.97421775572	-26.271171009284
-212.38585759420	31.647352443542
-236.69871734455	-9.8895952760358
-249.57972345874	-5.0376393119223
-130.23854990024	-123.22522525210
-129.45929483976	11.993173757219
-186.83464440983	-26.588893888402
-258.26491764747	7.0070009314804
-226.46757133771	-27.558631700231
-145.54343943019	-12.923759641126
-243.48727311008	-3.4659690300032
-145.82197763957	-58.582649216987
-192.48643366154	-36.972378438804
-191.45781698171	-60.070564359194
-189.28720965050	-16.430136383860
-79.334735346492	-84.457926277537
-32.975058275042	20.951079932274
-224.80601910502	-7.3634550972201
-192.26565200370	-55.089294619393
-208.01110076718	-23.997537937248
-17.919923266163	-16.215552022913
-191.38348579872	20.782450519619
-231.60227283370	-34.184296964668
-249.37567650341	-22.090993297752
-183.89234901406	-52.574880101020
-188.66610480472	-54.934953368502
-247.26346600801	-32.098632800626
-118.73067705892	-12.634276572499
-210.94927797094	-40.729395550443
-184.36500977259	-61.928127252031
-225.26009706780	-43.561711208895
-143.85404938366	30.796527425991
-205.58248797897	-51.191622333135
-180.19048729911	47.851757699391
-282.14204940014	11.808749150077
-184.28052135277	-27.919761123485
-125.11131353676	19.871400581906
48.785710532684	125.83701754920
-219.88828666508	21.193098291406
-239.96016534511	-3.4574850360514
-230.76143406797	-20.631161532947
